Time,VIB57,VIB58,VIB59
08:15:43:943,0.3464,0.749,1.4954
08:15:43:947,0.332,0.7702,1.4834
08:15:43:951,0.3052,0.7746,1.5098
08:15:43:955,0.3192,0.7634,1.475
08:15:43:958,0.3336,0.7586,1.4778
08:15:43:962,0.316,0.7502,1.4686
08:15:43:966,0.3,0.7594,1.5038
08:15:43:970,0.3196,0.7486,1.4822
08:15:43:974,0.326,0.739,1.4894
08:15:43:978,0.3296,0.7434,1.4686
08:15:43:982,0.3336,0.7494,1.473
08:15:43:986,0.2836,0.7518,1.501
08:15:43:990,0.3072,0.7426,1.5046
08:15:43:994,0.3304,0.7374,1.501
08:15:43:998,0.3316,0.7226,1.517
08:15:44:001,0.3428,0.7366,1.5042
08:15:44:005,0.3312,0.7246,1.4938
08:15:44:009,0.3412,0.7254,1.487
08:15:44:013,0.3312,0.7302,1.4858
08:15:44:017,0.3156,0.7342,1.4818
08:15:44:021,0.3196,0.7158,1.4874
08:15:44:025,0.318,0.7066,1.475
08:15:44:029,0.318,0.7186,1.4798
08:15:44:033,0.3108,0.7322,1.4794
08:15:44:037,0.3184,0.7322,1.5114
08:15:44:041,0.3152,0.7186,1.5062
08:15:44:044,0.3328,0.7258,1.5142
08:15:44:048,0.3328,0.7418,1.527
08:15:44:052,0.326,0.7314,1.5562
08:15:44:056,0.3264,0.7466,1.5154
08:15:44:060,0.3436,0.7462,1.5078
08:15:44:064,0.3264,0.7718,1.4966
08:15:44:068,0.334,0.7402,1.5218
08:15:44:072,0.3204,0.7054,1.5434
08:15:44:076,0.3292,0.7638,1.4966
08:15:44:080,0.3564,0.7778,1.4846
08:15:44:083,0.2944,0.7838,1.4978
08:15:44:087,0.3164,0.7638,1.4546
08:15:44:091,0.3324,0.7666,1.435
08:15:44:095,0.302,0.775,1.4722
08:15:44:099,0.3116,0.7906,1.5078
08:15:44:103,0.3128,0.783,1.479
08:15:44:107,0.3396,0.7918,1.475
08:15:44:111,0.3296,0.7838,1.4846
08:15:44:115,0.3336,0.7598,1.5026
08:15:44:119,0.3236,0.7582,1.4942
08:15:44:123,0.3136,0.7714,1.493
08:15:44:126,0.3008,0.777,1.4718
08:15:44:130,0.3428,0.7666,1.4346
08:15:44:134,0.3416,0.7606,1.4194
08:15:44:138,0.3164,0.7582,1.4338
08:15:44:142,0.322,0.767,1.461
08:15:44:146,0.3148,0.7346,1.4826
08:15:44:150,0.328,0.7314,1.4738
08:15:44:154,0.3432,0.725,1.4514
08:15:44:158,0.3288,0.7254,1.4862
08:15:44:162,0.3132,0.7306,1.5014
08:15:44:166,0.302,0.723,1.5506
08:15:44:169,0.3168,0.7366,1.5246
08:15:44:173,0.3224,0.7326,1.5414
08:15:44:177,0.2996,0.7338,1.4982
08:15:44:181,0.3156,0.7394,1.485
08:15:44:185,0.3408,0.7382,1.4622
08:15:44:189,0.332,0.7234,1.4938
08:15:44:193,0.3036,0.7358,1.4914
08:15:44:197,0.3132,0.7514,1.4766
08:15:44:201,0.3248,0.7642,1.4742
08:15:44:205,0.3444,0.7654,1.5078
08:15:44:208,0.3272,0.775,1.5346
08:15:44:212,0.3224,0.779,1.5158
08:15:44:216,0.3316,0.769,1.533
08:15:44:220,0.3292,0.7738,1.5078
08:15:44:224,0.3192,0.7686,1.5254
08:15:44:228,0.3392,0.7838,1.4934
08:15:44:232,0.3308,0.789,1.5302
