Time,VIB57,VIB58,VIB59
13:50:10:148,0.4276,0.7462,1.531
13:50:10:152,0.42,0.7534,1.5302
13:50:10:156,0.4204,0.7482,1.5322
13:50:10:160,0.4192,0.7486,1.5346
13:50:10:164,0.4224,0.7446,1.5314
13:50:10:167,0.4248,0.749,1.5306
13:50:10:171,0.4196,0.7486,1.5318
13:50:10:175,0.422,0.7474,1.5302
13:50:10:179,0.416,0.7482,1.5286
13:50:10:183,0.424,0.7474,1.5278
13:50:10:187,0.4184,0.7466,1.5298
13:50:10:191,0.4192,0.7474,1.529
13:50:10:195,0.4208,0.7502,1.5294
13:50:10:199,0.422,0.7506,1.5262
13:50:10:203,0.4188,0.749,1.5306
13:50:10:207,0.4224,0.7526,1.5318
13:50:10:210,0.4184,0.7498,1.5278
13:50:10:214,0.4208,0.7542,1.525
13:50:10:218,0.4192,0.7542,1.527
13:50:10:222,0.4184,0.7558,1.5282
13:50:10:226,0.4228,0.7574,1.5266
13:50:10:230,0.42,0.7574,1.525
13:50:10:234,0.4176,0.7598,1.5302
13:50:10:238,0.4204,0.7586,1.525
13:50:10:242,0.4172,0.7578,1.525
13:50:10:246,0.4204,0.7574,1.5318
13:50:10:250,0.4188,0.755,1.5266
13:50:10:253,0.4204,0.755,1.531
13:50:10:257,0.4232,0.7546,1.5262
13:50:10:261,0.4164,0.7522,1.5282
13:50:10:265,0.4184,0.7538,1.5234
13:50:10:269,0.4192,0.7518,1.527
13:50:10:273,0.4204,0.7514,1.5238
13:50:10:277,0.4192,0.7502,1.5274
13:50:10:281,0.4176,0.7506,1.5278
13:50:10:285,0.42,0.7526,1.5246
13:50:10:289,0.4216,0.7486,1.5242
13:50:10:292,0.4172,0.749,1.5266
13:50:10:296,0.4248,0.7486,1.5278
13:50:10:300,0.4192,0.7498,1.5266
13:50:10:304,0.4192,0.7514,1.5218
13:50:10:308,0.4232,0.7486,1.5266
13:50:10:312,0.4212,0.7506,1.525
13:50:10:316,0.42,0.7498,1.5246
13:50:10:320,0.42,0.7506,1.5266
13:50:10:324,0.4204,0.7458,1.5282
13:50:10:328,0.422,0.7478,1.5282
13:50:10:332,0.4184,0.7478,1.5314
13:50:10:335,0.4192,0.7482,1.5254
13:50:10:339,0.418,0.7466,1.527
13:50:10:343,0.4208,0.7498,1.527
13:50:10:347,0.4208,0.7498,1.525
13:50:10:351,0.4208,0.7478,1.5234
13:50:10:355,0.4224,0.7494,1.5266
13:50:10:359,0.4192,0.7538,1.5202
13:50:10:363,0.4196,0.7518,1.5242
13:50:10:367,0.4224,0.755,1.5214
13:50:10:371,0.4228,0.7558,1.5258
13:50:10:375,0.422,0.753,1.5234
13:50:10:378,0.4228,0.755,1.5258
13:50:10:382,0.4192,0.7554,1.5266
